url_len,host_len,special_char,is_https,url_digit,host_digit
443,19,2,1,0.13544018058690746,3.1578947368421053
113,24,2,0,0.1592920353982301,0.75
41,17,1,0,0.0,0.0
75,15,2,0,0.06666666666666667,0.3333333333333333
60,28,2,0,0.0,0.0
25,15,2,0,0.04,0.06666666666666667
34,6,1,0,0.029411764705882353,0.16666666666666666
32,18,2,0,0.0,0.0
70,29,2,0,0.3,0.7241379310344828
55,19,2,0,0.18181818181818182,0.5263157894736842
41,14,1,0,0.0,0.0
73,21,2,1,0.0,0.0
75,37,3,1,0.10666666666666667,0.21621621621621623
61,19,2,0,0.01639344262295082,0.05263157894736842
29,20,2,1,0.034482758620689655,0.05
33,11,1,1,0.0,0.0
141,38,3,1,0.07092198581560284,0.2631578947368421
43,21,2,0,0.046511627906976744,0.09523809523809523
52,21,2,0,0.0,0.0
22,13,2,1,0.09090909090909091,0.15384615384615385
43,12,2,0,0.0,0.0
40,33,6,0,0.025,0.030303030303030304
56,48,7,0,0.16071428571428573,0.1875
61,11,2,0,0.21311475409836064,1.1818181818181819
35,12,3,0,0.2571428571428571,0.75
126,13,2,0,0.1111111111111111,1.0769230769230769
40,13,3,0,0.125,0.38461538461538464
81,54,6,0,0.14814814814814814,0.2222222222222222
52,15,1,0,0.0,0.0
171,25,1,0,0.30409356725146197,2.08
83,19,1,1,0.04819277108433735,0.21052631578947367
45,22,1,0,0.0,0.0
63,18,2,0,0.07936507936507936,0.2777777777777778
64,20,2,1,0.0,0.0
45,17,3,0,0.0,0.0
36,20,2,0,0.0,0.0
101,18,2,1,0.25742574257425743,1.4444444444444444
70,16,2,1,0.05714285714285714,0.25
36,14,1,0,0.0,0.0
56,22,2,0,0.0,0.0
37,12,2,0,0.10810810810810811,0.3333333333333333
51,23,3,0,0.0196078431372549,0.043478260869565216
106,14,3,0,0.03773584905660377,0.2857142857142857
50,20,2,1,0.0,0.0
24,9,1,0,0.0,0.0
97,11,1,1,0.05154639175257732,0.45454545454545453
26,15,1,0,0.0,0.0
62,18,2,0,0.0,0.0
40,17,2,1,0.0,0.0
