url_len,host_len,special_char,is_https,url_digit,host_digit
54,21,1,0,0.07407407407407407,0.19047619047619047
116,13,1,0,0.21551724137931033,1.9230769230769231
92,16,2,0,0.0,0.0
145,32,3,1,0.05517241379310345,0.25
48,15,2,1,0.0,0.0
147,18,1,0,0.05442176870748299,0.4444444444444444
34,27,4,0,0.0,0.0
42,14,3,0,0.0,0.0
26,19,3,0,0.0,0.0
82,15,2,0,0.0,0.0
132,25,3,1,0.05303030303030303,0.28
96,14,2,1,0.041666666666666664,0.2857142857142857
62,8,1,1,0.0967741935483871,0.75
45,27,4,1,0.022222222222222223,0.037037037037037035
26,17,3,1,0.0,0.0
74,12,1,0,0.02702702702702703,0.16666666666666666
58,22,2,0,0.10344827586206896,0.2727272727272727
85,10,1,1,0.17647058823529413,1.5
81,22,2,0,0.2716049382716049,1.0
74,14,2,0,0.06756756756756757,0.35714285714285715
51,15,2,0,0.0196078431372549,0.06666666666666667
64,31,2,0,0.03125,0.06451612903225806
59,28,2,0,0.0,0.0
166,11,2,0,0.14457831325301204,2.1818181818181817
283,17,2,1,0.2862190812720848,4.764705882352941
53,24,3,0,0.0,0.0
135,50,5,0,0.14814814814814814,0.4
31,16,1,1,0.0,0.0
56,15,2,1,0.07142857142857142,0.26666666666666666
54,11,2,1,0.24074074074074073,1.1818181818181819
34,19,3,0,0.029411764705882353,0.05263157894736842
148,17,2,0,0.0472972972972973,0.4117647058823529
52,15,3,0,0.019230769230769232,0.06666666666666667
43,15,2,1,0.023255813953488372,0.06666666666666667
144,24,1,0,0.20833333333333334,1.25
68,42,4,0,0.14705882352941177,0.23809523809523808
137,15,2,1,0.26277372262773724,2.4
25,14,1,0,0.0,0.0
92,21,2,0,0.06521739130434782,0.2857142857142857
154,14,1,0,0.006493506493506494,0.07142857142857142
55,47,6,0,0.09090909090909091,0.10638297872340426
174,21,2,0,0.3333333333333333,2.761904761904762
186,16,2,0,0.26881720430107525,3.125
90,23,3,1,0.2111111111111111,0.8260869565217391
68,20,2,0,0.14705882352941177,0.5
17,9,1,0,0.0,0.0
102,13,1,1,0.058823529411764705,0.46153846153846156
67,21,1,0,0.05970149253731343,0.19047619047619047
70,44,4,0,0.15714285714285714,0.25
26,19,1,0,0.0,0.0
43,7,1,0,0.0,0.0
28,20,3,0,0.0,0.0
